1,11E-07;0
5,50E-07;0,01
1,18E-06;0,02
2,11E-06;0,03
3,43E-06;0,04
5,34E-06;0,05
8,05E-06;0,06
1,19E-05;0,07
1,72E-05;0,08
2,45E-05;0,09
3,44E-05;0,1
4,73E-05;0,11
6,40E-05;0,12
8,40E-05;0,13
1,07E-04;0,14
1,32E-04;0,15
1,57E-04;0,16
1,81E-04;0,17
2,04E-04;0,18
2,23E-04;0,19
2,38E-04;0,2
2,50E-04;0,21
2,59E-04;0,22
2,67E-04;0,23
2,72E-04;0,24
2,76E-04;0,25
2,78E-04;0,26
2,80E-04;0,27
2,82E-04;0,28
2,83E-04;0,29
2,83E-04;0,3
2,84E-04;0,31
2,84E-04;0,32
2,84E-04;0,33
2,84E-04;0,34
2,85E-04;0,35
2,85E-04;0,36
2,85E-04;0,37
2,86E-04;0,38
2,86E-04;0,39
2,86E-04;0,4
2,86E-04;0,41
2,86E-04;0,42
2,86E-04;0,43
2,86E-04;0,44
2,87E-04;0,45
2,87E-04;0,46
2,87E-04;0,47
2,87E-04;0,48
2,87E-04;0,49
2,88E-04;0,5
2,87E-04;0,51
2,88E-04;0,52
2,88E-04;0,53
2,88E-04;0,54
2,88E-04;0,55
2,88E-04;0,56
2,88E-04;0,57
2,88E-04;0,58
2,89E-04;0,59
2,89E-04;0,6
2,89E-04;0,61
2,89E-04;0,62
2,89E-04;0,63
2,89E-04;0,64
2,89E-04;0,65
2,90E-04;0,66
2,90E-04;0,67
2,90E-04;0,68
2,90E-04;0,69
2,90E-04;0,7
2,90E-04;0,71
2,90E-04;0,72
2,90E-04;0,73
2,90E-04;0,74
2,91E-04;0,75
2,91E-04;0,76
2,91E-04;0,77
2,91E-04;0,78
2,91E-04;0,79
2,91E-04;0,8
2,91E-04;0,81
2,91E-04;0,82
2,92E-04;0,83
2,92E-04;0,84
2,92E-04;0,85
2,92E-04;0,86
2,92E-04;0,87
2,92E-04;0,88
2,92E-04;0,89
2,93E-04;0,9
2,92E-04;0,91
2,93E-04;0,92
2,93E-04;0,93
2,93E-04;0,94
2,93E-04;0,95
2,93E-04;0,96
2,93E-04;0,97
2,93E-04;0,98
2,93E-04;0,99
2,93E-04;1
