1,69E-10;0
-1,59E-10;0,1
2,92E-11;0,2
-1,72E-10;0,3
-1,71E-10;0,4
-6,58E-12;0,5
-1,53E-10;0,6
8,72E-11;0,7
-1,31E-10;0,8
1,39E-10;0,9
1,44E-10;1
6,56E-10;1,1
3,96E-09;1,2
2,94E-08;1,3
2,12E-07;1,4
1,66E-06;1,5
1,44E-05;1,6
8,49E-05;1,7
2,34E-04;1,8
4,24E-04;1,9
6,33E-04;2
8,52E-04;2,1
1,08E-03;2,2
1,31E-03;2,3
1,54E-03;2,4
1,77E-03;2,5
2,01E-03;2,6
2,25E-03;2,7
2,48E-03;2,8
2,72E-03;2,9
2,96E-03;3
3,21E-03;3,1
3,45E-03;3,2
3,69E-03;3,3
3,93E-03;3,4
4,18E-03;3,5
4,42E-03;3,6
4,66E-03;3,7
4,91E-03;3,8
5,15E-03;3,9
5,40E-03;4
5,64E-03;4,1
5,89E-03;4,2
6,13E-03;4,3
6,38E-03;4,4
6,63E-03;4,5
6,87E-03;4,6
7,12E-03;4,7
7,36E-03;4,8
7,61E-03;4,9
7,86E-03;5
8,10E-03;5,1
8,35E-03;5,2
8,60E-03;5,3
8,85E-03;5,4
9,09E-03;5,5
9,34E-03;5,6
9,59E-03;5,7
9,83E-03;5,8
1,01E-02;5,9
1,03E-02;6
1,06E-02;6,1
1,08E-02;6,2
1,11E-02;6,3
1,13E-02;6,4
1,16E-02;6,5
1,18E-02;6,6
1,21E-02;6,7
1,23E-02;6,8
1,26E-02;6,9
1,28E-02;7
1,31E-02;7,1
1,33E-02;7,2
1,36E-02;7,3
1,38E-02;7,4
1,40E-02;7,5
1,43E-02;7,5998
1,45E-02;7,7
1,48E-02;7,8
1,50E-02;7,9
1,53E-02;8
1,55E-02;8,1
1,58E-02;8,2
1,60E-02;8,3
1,63E-02;8,4
1,65E-02;8,5
1,68E-02;8,6
1,70E-02;8,7
1,73E-02;8,8
1,75E-02;8,9
1,78E-02;9
1,80E-02;9,1
1,83E-02;9,2
1,85E-02;9,3
1,88E-02;9,4
1,90E-02;9,5
1,93E-02;9,6
1,95E-02;9,7
1,98E-02;9,8
2,00E-02;9,9
2,03E-02;10
